,Fl_ft2,LotArea,NumFloors,norm_gas,BuiltFAR,incomePC,ENERGY STAR Score,eui,log_eui,ZIPCODE,d_ghg,id_ghg,norm_elct,age,log_fl_ft2,log_LotArea,log_norm_gas,predicted_eui,diff_eui
1902,119315.0,12955,12.0,1934.8,9.21,64.16747818220519,100.0,61.0,1.7853298350107671,10025,455.6,90.0,2.7,97,11.689522333627316,9.46923709299621,7.567759240948828,69.40456547311383,58.404565473113834
1903,111359.0,12625,12.0,2206.4,8.82,64.16747818220519,87.0,63.8,1.8048206787211625,10025,455.0,132.1,3.8,29,11.620514495642869,9.443434254143561,7.699117507039038,62.37321977516443,48.57321977516443
1904,153653.0,14798,12.0,69326.0,10.38,64.16747818220519,100.0,50.6,1.7041505168397992,10025,395.7,41.2,0.9,77,11.942452092262263,9.602247315485496,11.146575295190617,60.63887887822351,60.03887887822351
1905,116255.0,12615,13.0,2323.6,8.09,64.16747818220519,79.0,80.1,1.9036325160842376,10025,501.4,119.9,4.1,53,11.663541333277355,9.442641861075158,7.750872986118377,68.95765096364585,38.85765096364585
1906,211041.0,16370,15.0,27150.9,12.89,64.16747818220519,92.0,59.1,1.7715874808812553,10025,691.2,206.6,3.4,77,12.259807706378126,9.70320567036518,10.20916547398393,69.04721760798247,59.94721760798247
1907,55665.0,9700,7.0,55007.6,5.74,64.16747818220519,15.0,131.5,2.1189257528257768,10025,311.5,68.7,4.6,117,10.927106862162807,9.179881164491475,10.915226636486562,96.78324667340058,15.283246673400583
1908,159770.0,13517,15.0,43029.0,11.82,64.16747818220519,98.0,60.4,1.7810369386211318,10025,527.9,155.1,3.2,90,11.981490560021617,9.511703431483827,10.669629585962323,73.74516138072141,63.345161380721414
1909,106763.0,7436,15.0,13922.4,14.36,64.16747818220519,98.0,62.1,1.7930916001765802,10025,383.8,92.7,3.0,93,11.57836670353579,8.914088348841334,9.541254332819964,72.8993971983315,60.7993971983315
1910,94804.0,9086,12.0,2175.4,10.43,64.16747818220519,64.0,84.2,1.925312091499649,10025,512.9,91.4,3.3,68,11.459566881445795,9.114490046319348,7.68496783465975,69.45940681156578,35.25940681156578
1912,190890.0,14632,14.0,100529.1,13.05,64.16747818220519,93.0,58.9,1.7701152947871015,10025,529.4,172.1,2.9,94,12.159452624894948,9.590966190070702,11.518202516807914,71.2564498912197,62.356449891219704
1914,158615.0,14052,15.0,27012.8,11.29,64.16747818220519,95.0,59.7,1.7759743311293692,10025,548.0,161.2,3.3,93,11.974235161264303,9.550520013385718,10.204066106722928,74.46723219653553,64.76723219653553
1916,126785.0,12625,12.0,24659.0,10.04,64.16747818220519,97.0,66.6,1.823474229170301,10025,456.4,137.9,3.8,106,11.750248017457707,9.443434254143561,10.112897224395695,79.60306374949363,63.003063749493634
1917,204463.0,13518,24.0,99076.8,15.13,64.16747818220519,60.0,116.7,2.0670708560453703,10025,1194.8,329.9,5.8,88,12.228142308999995,9.511777409660299,11.503650585948103,95.85977483095112,29.15977483095112
1918,97857.0,10092,13.0,15373.0,9.7,64.16747818220519,48.0,71.1,1.8518696007297664,10025,425.2,119.6,3.9,101,11.49126250833397,9.219498309760949,9.640368002912599,81.87089682503986,60.77089682503987
1919,119228.0,10000,12.0,1897.9,11.92,64.16747818220519,99.0,52.2,1.7176705030022619,10025,415.7,96.9,2.6,105,11.688792905357717,9.210340371976184,7.548503290742874,67.78498885071332,65.58498885071332
1920,128461.0,8683,19.0,19748.5,14.79,64.16747818220519,94.0,60.6,1.7824726241662865,10025,455.9,133.8,3.4,86,11.76338063530585,9.069122370060645,9.89083281807788,74.83410437979349,64.23410437979348
1921,165372.0,14201,15.0,23623.0,11.65,64.16747818220519,94.0,55.6,1.7450747915820577,10025,575.3,178.3,3.3,88,12.015952760663145,9.561067663645012,10.069976092693759,72.71756408836806,67.11756408836806
1922,62605.0,8585,10.0,4107.8,7.29,64.16747818220519,65.0,85.0,1.9294189257142929,10025,339.4,56.8,3.1,91,11.044600426103049,9.057771773331575,8.320642884371548,78.66847218191523,43.668472181915234
